case_no,processing_center,case_status,received_date,decision_date,employer_name,employer_address_1,employer_address_2,employer_city,employer_state,employer_postal_code,alien_citizenship_country,employer_job_title,wage_offered_from,wage_offered_to,wage_per,prevailing_wage_job_title,pw_amount,pw_level,pw_soc_code,pw_soc_title,application_type
A-05118-01828,Atlanta Processing Center,Denied,4/28/2005 0:00:00,,"PHYTOCEUTICA, INC.","5 SCIENCE PARK, SUITE # 13",,NEW HAVEN,CONNECTICUT,06511,SINGAPORE,Legal Coordinator,$57325.00,,Year,Lawyers,50648,Level I,23-1011.00,Lawyers,PERM
A-05132-02698,Atlanta Processing Center,Denied,5/1/2005 0:00:00,,"FLORIDA STUCCO, FRAMING & LANDSCAPING, INC.",5240 E. COLONIAL DR.,,ORLANDO,FLORIDA,32807,MEXICO,General Construction,$10.50,$16.00,Hour,Construction Laborers,10.1,Level III,47-2061.00,Construction Laborers,PERM
A-05132-02699,Atlanta Processing Center,Certified,5/12/2005 0:00:00,7/5/2005 10:31:36,ITAU SECURITIES INC.,540 MADISON AVENUE,23RD FLOOR,NEW YORK,NEW YORK,10022,BRAZIL,Financial Analyst (Brazilian Markets),$120000.00,,Year,Financial Analyst (Brazilian Markets),96470,Level III,13-2051.00,Financial Analysts,PERM
A-05132-02701,Atlanta Processing Center,Certified,8/26/2005 0:00:00,9/30/2005 7:34:13,VENUS CAPITAL MANAGEMENT INC.,"99, SUMMER STREET",SUITE M100,BOSTON,MASSACHUSETTS,02110,INDIA,Fund Analyst I,$76170.00,,Year,Financial Analyst,76170,Level III,13-2051.00,Financial Analysts,PERM
A-05132-02702,Atlanta Processing Center,Denied,5/12/2005 0:00:00,,"NUMBERS ONLY, INC.","21 TECHNOLOGY DRIVE, UNIT 4",,WEST LEBANON,NEW HAMPSHIRE,03784,INDIA,Software Engineer,$70512.00,,Year,Computer Software Engineer,70512,Level III,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05132-02703,Atlanta Processing Center,Certified,5/12/2005 0:00:00,6/2/2005 16:04:15,"MERCK & CO., INC.",ONE MERCK DRIVE,,WHITEHOUSE STATION,NEW JERSEY,08889,UNITED KINGDOM,Bioinformatician/Analytical Systems,$80601.00,,Year,Computer Software Engineer/Systems Software,36.43,Level II,15-1032.00,"Computer Software Engineers, Systems Software",PERM
A-05132-02704,Atlanta Processing Center,Denied,5/11/2005 0:00:00,,"FLORIDA STUCCO, FRAMING & LANDSCAPING, INC.",5240 E. COLONIAL DR.,,ORLANDO,FLORIDA,32807,MEXICO,General Construction,$10.50,$16.00,Hour,Construction Laborers,10.1,Level III,47-2061.00,Construction Laborers,PERM
A-05132-02706,Atlanta Processing Center,Certified,5/12/2005 0:00:00,9/14/2005 12:52:53,"SIMPLEX INFO SYSTEMS, INC",76 NORTHEASTERN BLVD,SUITE #32C,NASHUA,NEW HAMPSHIRE,03062,INDIA,Project Manager,$49.58,,Hour,Project Manager,36.47,Level I,11-3021.00,Computer and Information Systems Managers,PERM
A-05132-02707,Atlanta Processing Center,Denied,9/15/2005 0:00:00,,"CAPITAL ONE SERVICES, INC.",1680 CAPITAL ONE DR.,,MCLEAN,VIRGINIA,22102,CHINA,Data Analyst,$58000.00,,Year,Operations Research Analyst,57949,Level II,15-2031.00,Operations Research Analysts,PERM
A-05132-02713,Atlanta Processing Center,Denied,5/12/2005 0:00:00,,"PAUL SIMS, INC.",11260 PATTERSON AVENUE,,RICHMOND,VIRGINIA,23233,BRAZIL,BUYER,$15.16,,Hour,BUYER,15.16,Level I,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",PERM
A-05132-02714,Atlanta Processing Center,Denied,5/11/2005 0:00:00,,GENESIS ACCOUNTING SERVICES CORP.,1574 SE 3RD COURT,,DEERFIELD BEACH,FLORIDA,33441,BRAZIL,Marketing Analyst,$670.00,,Week,Marketing Analyst,598,Level I,19-3021.00,Market Research Analysts,PERM
A-05132-02716,Atlanta Processing Center,Certified,5/13/2005 0:00:00,9/14/2005 11:18:04,"SEOUL SHIK POOM, INC.",10-16 MONTGOMERY,,HILLSIDE,NEW JERSEY,07205,SOUTH KOREA,Purchasing Manager,$46.03,,Hour,Purchasing Manager,46.03,Level III,11-3061.00,Purchasing Managers,PERM
A-05132-02720,Atlanta Processing Center,Denied,5/11/2005 0:00:00,,"FLORIDA STUCCO, FRAMING & LANDSCAPING, INC.",5240 E. COLONIAL DR.,,ORLANDO,FLORIDA,32807,GUATEMALA,Housekeeper Supervisor,$10.25,$15.00,Hour,Housekeeping Supervisors,10.1,Level III,37-1011.01,Housekeeping Supervisors,PERM
A-05132-02726,Atlanta Processing Center,Denied,5/11/2005 0:00:00,,"FLORIDA STUCCO, FRAMING & LANDSCAPING, INC.",5240 E. COLONIAL DR.,,ORLANDO,FLORIDA,32807,MEXICO,Housekeeper,$8.00,$12.00,Hour,Maids and Housekeeping Cleaners,7.6,Level II,37-2012.00,Maids and Housekeeping Cleaners,PERM
A-05132-02731,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,FLORIDA PROBE CORPORATION,3700 NW 91ST STREET,SUITE C-100,GAINESVILLE,FLORIDA,32606,UNITED KINGDOM,Computer Programmer IV,$25.00,,Hour,Computer Programmer,24.34,Level IV,15-1021.00,Computer Programmers,PERM
A-05132-02734,Atlanta Processing Center,Denied,5/12/2005 0:00:00,,LEONARD COLCHAMIRO PC AIA,227 5TH AVE,,BROOKLYN,NEW YORK,11215,COLOMBIA,Architect (Intern Level),$50000.00,,Year,Architect Exept Landscape & Naval,41704,Level I,17-1011.00,"Architects, Except Landscape and Naval",PERM
A-05132-02765,Atlanta Processing Center,Certified,7/27/2005 0:00:00,8/1/2005 16:28:15,"ASAHI JAPANESE & CHINESE CUISINE, INC.",9240 W. COMMERCIAL BLVD.,,SUNRISE,FLORIDA,33351,CHINA,cook(Japanese Food),$9.98,$12.00,Hour,cook(Japanese Food),9.98,Level IV,35-2014.00,"Cooks, Restaurant",PERM
A-05132-02766,Atlanta Processing Center,Certified,7/5/2005 0:00:00,7/14/2005 11:14:40,"OBVERSE, INC.","6925 WILLOW STREET, NW",SUITE 230,WASHINGTON,DISTRICT OF COLUMBIA,20012,INDIA,Software Engineer,$62566.00,,Year,Software Engineer,62566,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05132-02767,Atlanta Processing Center,Denied,6/30/2005 0:00:00,,NEW HUNAN OF MEMPHIS INC.,5052 PARK AVE.,,MEMPHIS,TENNESSEE,38117,CHINA,Chinese Food Cook,$12.12,,Hour,"cook, specialty foreign food",9.13,Level IV,35-2014.00,"Cooks, Restaurant",PERM
A-05132-02768,Atlanta Processing Center,Certified,5/12/2005 0:00:00,6/2/2005 16:06:36,LEO A DALY COMPANY,8600 INDIAN HILLS DRIVE,,OMAHA,NEBRASKA,68114,UGANDA,INTERMEDIATE ARCHITECT,$55682.00,,Year,ARCHITECT,55682,Level II,17-1011.00,"Architects, Except Landscape and Naval",PERM
A-05132-02769,Atlanta Processing Center,Denied,5/12/2005 0:00:00,,J.A.J. CONTRACTING CORP,97 MONSLEY AVENUE,,STATEN ISLAND,NEW YORK,10312,POLAND,Hand Carver / Detailer,$30.00,$45.00,Hour,Hand Carver/Detailer,30.1,Level IV,47-2031.01,Construction Carpenters,PERM
A-05132-02775,Atlanta Processing Center,Denied,5/16/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02778,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02779,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02781,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02783,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02784,Atlanta Processing Center,Denied,5/20/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02785,Atlanta Processing Center,Denied,5/20/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02787,Atlanta Processing Center,Withdrawn,5/20/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,,MONTGOMERY,ALABAMA,36108,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02788,Atlanta Processing Center,Denied,5/20/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02790,Atlanta Processing Center,Denied,5/20/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,SOUTH KOREA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02791,Atlanta Processing Center,Denied,5/24/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,CHINA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02792,Atlanta Processing Center,Denied,5/24/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,P.O. BOX 250050,MONTGOMERY,ALABAMA,36125,CHINA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02794,Atlanta Processing Center,Withdrawn,6/30/2005 0:00:00,,GUZMAN & COMPANY,101 ARAGON AVENUE,,CORAL GABLES,FLORIDA,33134-5426,CHINA,Quantitative Analyst,$85000.00,,Year,Operations Research Analysts,66851,Level IV,15-2031.00,Operations Research Analysts,PERM
A-05132-02805,Atlanta Processing Center,Denied,6/21/2005 0:00:00,,"SYLVEST FARMS, INC.",3500 WESTERN BLVD.,,MONTGOMERY,ALABAMA,36108,CHINA,Poultry Dresser,$7.51,,Hour,Poultry Dresser,7.51,Level I,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",PERM
A-05132-02826,Atlanta Processing Center,Denied,5/12/2005 0:00:00,,"AIN D&D,CORP",320 NORTHERN BLVD. SUITE # 18,,GREAT NECK,NEW YORK,11021,SOUTH KOREA,Architect,$50000.00,,Year,Architect,23.51,Level II,17-1011.00,"Architects, Except Landscape and Naval",PERM
A-05133-02829,Atlanta Processing Center,Certified,5/13/2005 0:00:00,8/29/2005 12:10:50,"AIN D&D,CORP",320 NORTHERN BLVD. SUITE # 18,,GREAT NECK,NEW YORK,11021,SOUTH KOREA,Administrative Assistant,$50000.00,,Year,Architect,23.51,Level II,17-1011.00,"Architects, Except Landscape and Naval",PERM
A-05133-02833,Atlanta Processing Center,Denied,6/23/2005 0:00:00,,"D'PAULA HOME SERVICES, INC.",4355 BANYAN TRAILS DR.,,COCONUT CREEK,FLORIDA,33073,BRAZIL,Painter,$12.08,,Week,Painter,12.08,Level I,47-2141.00,"Painters, Construction and Maintenance",PERM
A-05133-02835,Atlanta Processing Center,Certified,5/13/2005 0:00:00,8/19/2005 16:26:43,GO BA WOO KALBI CORP.,4 ROUTE 303,,TAPPAN,NEW YORK,10983,SOUTH KOREA,"Cook, Japanese Specialty",$40000.00,,Year,Cook Specialty Foreign Food - Cooks Restaurant,28621,Level III,35-2014.00,"Cooks, Restaurant",PERM
A-05133-02836,Atlanta Processing Center,Certified,5/17/2005 0:00:00,8/15/2005 16:21:59,"YOUNG BORN CONSTRUCTION, INC",2402 SCALYBARK  RD.,,STATESVILLE,NORTH CAROLINA,28625,SOUTH KOREA,First-line Supervisor,$42432.00,,Year,First-line Supervisor,42432,Level II,47-1011.00,First-Line Supervisors/Managers of Construction Tr,PERM
A-05133-02837,Atlanta Processing Center,Certified,5/13/2005 0:00:00,6/2/2005 16:09:44,"SCIQUEST, INC.","5151 MCCRIMMON PARKWAY, SUITE 216",,MORRISVILLE,NORTH CAROLINA,27560,SOUTH AFRICA,Database Administrator,$75000.00,,Year,Database Administrator,74506,Level IV,15-1061.00,Database Administrators,PERM
A-05133-02846,Atlanta Processing Center,Certified,5/13/2005 0:00:00,7/21/2005 17:03:48,THE HEAVENLY VOICE PRESBYTERIAN CHURCH IN NEW YORK,58-30 193 STREET,,FRESH MEADOWS,NEW YORK,11365,SOUTH KOREA,Religious Teacher,$33700.00,,Year,"All other counselors, social and religious workers",33696,Level II,21-2099.99,"Religious Workers, All Other",PERM
A-05133-02847,Atlanta Processing Center,Certified,7/27/2005 0:00:00,9/15/2005 16:33:07,OHM'S ELECTRICAL CORP.,29 YORK DRIVE,,GREAT NECK,NEW YORK,11021,ROMANIA,Electrical Drafter,$43000.00,,Year,Electrical Drafter,16.19,Level I,17-3012.02,Electrical Drafters,PERM
A-05133-02851,Atlanta Processing Center,Denied,5/26/2005 0:00:00,,"RE-STEEL SUPPLY CO., INC.",2000 EDDYSTONE INDUSTRIAL PARK,,EDDYSTONE,PENNSYLVANIA,19022,PHILIPPINES,Re-Bar Detailer/Project Coordinator,$40000.00,,Year,Re-bar Detailer/Project Coordinator,33862,Level II,17-3011.00,Architectural and Civil Drafters,PERM
A-05133-02852,Atlanta Processing Center,Certified,6/15/2005 0:00:00,6/17/2005 16:17:37,"FRAMATOME ANP, INC.",3315 OLD FOREST ROAD,,LYNCHBURG,VIRGINIA,24501,SOUTH KOREA,Engineer II,$59000.00,$61000.00,Year,Engineer II,53165,Level II,17-2141.00,Mechanical Engineers,PERM
A-05133-02853,Atlanta Processing Center,Denied,5/18/2005 0:00:00,,"COMCAST IP SERVICES, LLC",1800 BISHOPS GATE BLVD,,MT. LAUREL,NEW JERSEY,08054,PAKISTAN,Tier 4 Senior Web Application Analyst,$83931.00,,Year,Tier 4 Senior Web Application Analyst,35.22,Level III,15-1081.00,Network Systems and Data Communications Analysts,PERM
A-05133-02860,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,OCEAN TUG & BARGE ENGINEERING CORPORATION,258 MAIN STREET,SUITE 401,MILFORD,MASSACHUSETTS,01757,BULGARIA,NAVAL ARCHITECT,$65000.00,,Year,MARINE ENGINEER NAVAL ARCHITECT,51709,Level II,17-2121.00,Marine Engineers and Naval Architects,PERM
A-05133-02864,Atlanta Processing Center,Certified,5/13/2005 0:00:00,8/18/2005 10:43:53,"DATALEX (USA), INC.",1105 SANCTUARY PARKWAY,SUITE 190,ALPHARETTA,GEORGIA,30004,CANADA,General Counsel,$122312.50,,Year,General Counsel,103730,Level III,23-1011.00,Lawyers,PERM
A-05133-02865,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,NEXT HEALTH INC,SUITE 100,20925 PROFESSIONAL PLAZA,ASHBURN,VIRGINIA,20147,PAKISTAN,Internal Medicine Physician,$90000.00,,Year,Internal Medicine Physician,84011,Level I,29-1063.00,"Internists, General",PERM
A-05133-02872,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,WOOD MACKENZIE INC,30 ROWES WHARF,FLOOR 2,BOSTON,MASSACHUSETTS,02110,KAZAKHSTAN,Market Research Analyst I (Gas Analyst),$70000.00,,Year,Market Research Analyst I (Gas Analyst),38605,Level I,19-3021.00,Market Research Analysts,PERM
A-05133-02880,Atlanta Processing Center,Certified,6/28/2005 0:00:00,7/21/2005 16:56:06,ANDERSON UNIVERSITY,316 BOULEVARD,,ANDERSON,SOUTH CAROLINA,29621,SOUTH KOREA,Professor of Economics,$50000.00,,Year,Professor of Economics,38970,Level I,25-1063.00,"Economics Teachers, Postsecondary",PERM
A-05133-02886,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,ZACK'S AND TINO AUTO CENTER,500 SW 6TH COURT,,POMPANO BEACH,FLORIDA,33060,BRAZIL,Mechanic,$16.80,,Hour,Mechanic,16.8,Level I,49-3021.00,Automotive Body and Related Repairers,PERM
A-05133-02889,Atlanta Processing Center,Certified,5/13/2005 0:00:00,8/31/2005 11:03:44,"INTELLECT TECHNICAL SOLUTIONS, INC.",15950 BAY VISTA DRIVE SUITE 235,,CLEARWATER,FLORIDA,33760,INDIA,Programmer Analyst,$70000.00,,Year,Programmer Analyst,63107,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05133-02890,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,"GREEN LEAVES CHINESE RESTAURANT, INC.","MEADOWBROOK VILLAGE PLAZA, ROUTE 1",,YORK,MAINE,03909,CHINA,Foreign Food Specialty Cook,$24000.00,,Year,Foreign Food Specialty Cook,22942.4,Level II,35-2014.00,"Cooks, Restaurant",PERM
A-05133-02891,Atlanta Processing Center,Denied,5/16/2005 0:00:00,,"J & R INTERNATIONAL, INC.",5641 DEWEY ST.,,HOLLYWOOD,FLORIDA,33023,BRAZIL,Janitorial Supervisor,$11.82,,Hour,janitorial supervisor,11.82,Level I,37-1011.00,First-Line Supervisors/Managers of Housekeeping an,PERM
A-05133-02893,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,BEAME ARCHITECTURAL PARTNERSHIP,"116 ALHAMBRA CIRCLE, SUITE J",,CORAL GABLES,FLORIDA,33134,PHILIPPINES,Project Architect,$66000.00,,Year,Project Architect,56056,Level II,17-1011.00,"Architects, Except Landscape and Naval",PERM
A-05133-02894,Atlanta Processing Center,Withdrawn,5/13/2005 0:00:00,,"GOODMARK USA, INC.",1877 SOUTH FEDERAL HIGHWAY SUITE 204,,BOCA RATON,FLORIDA,33432,MALAYSIA,Staff Accountant,$39000.00,,Year,Accountant,36960,Level I,13-2011.01,Accountants,PERM
A-05133-02895,Atlanta Processing Center,Denied,6/2/2005 0:00:00,,OLIVER LTD,1776 COLLINS AVE,,MIAMI BEACH,FLORIDA,33139,BRAZIL,Market Research Analyst,$21.49,,Hour,market research analyst,21.49,Level I,19-3021.00,Market Research Analysts,PERM
A-05133-02896,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,TNT AUTOMOTIVE CORP,902 SECOND AVENUE,,NEW HYDE PARK,NEW YORK,11040,TURKEY,Service Manager,$32219.00,,Year,DIspatcher,32219,Level III,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",PERM
A-05133-02898,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,"PHYTOCEUTICA, INC.","5 SCIENCE  PARK, SUITE #13",,NEW HAVEN,CONNECTICUT,06511,SINGAPORE,Legal Coordinator,$57325.00,,Year,Lawyers,50648,Level I,23-1011.00,Lawyers,PERM
